64960 0.51
9.18 2.55 -1.000000002
9.69 2.55 -1.000000002
10.2 2.55 -1.000000002
10.71 2.55 -1.000000002
11.22 2.55 -1.000000002
11.73 2.55 -1.000000002
12.24 2.55 -1.000000002
12.75 2.55 -1.000000002
13.26 2.55 -1.000000002
13.77 2.55 -1.000000002
14.280000000000001 2.55 -1.000000002
14.781736433681042 2.55 -1.0043685312369475
27.038299576195303 2.55 -1.0044217382795502
27.54 2.55 -1.000000002
28.05 2.55 -1.000000002
28.560000000000002 2.55 -1.000000002
29.07 2.55 -1.000000002
29.580000000000002 2.55 -1.000000002
30.09 2.55 -1.000000002
30.6 2.55 -1.000000002
31.11 2.55 -1.000000002
31.62 2.55 -1.000000002
32.13 2.55 -1.000000002
32.64 2.55 -1.000000002
33.15 2.55 -1.000000002
33.660000000000004 2.55 -1.000000002
34.17 2.55 -1.000000002
34.68 2.55 -1.000000002
35.19 2.55 -1.000000002
35.7 2.55 -1.000000002
36.21 2.55 -1.000000002
36.72 2.55 -1.000000002
37.230000000000004 2.55 -1.000000002
37.74 2.55 -1.000000002
38.25 2.55 -1.000000002
38.76 2.55 -1.000000002
39.27 2.55 -1.000000002
39.78 2.55 -1.000000002
40.29 2.55 -1.000000002
40.8 2.55 -1.000000002
41.31 2.55 -1.000000002
41.82 2.55 -1.000000002
42.33 2.55 -1.000000002
0.0 3.06 -1.000000002
0.51 3.06 -1.000000002
1.02 3.06 -1.000000002
1.53 3.06 -1.000000002
2.04 3.06 -1.000000002
2.55 3.06 -1.000000002
3.06 3.06 -1.000000002
3.5700000000000003 3.06 -1.000000002
4.08 3.06 -1.000000002
4.59 3.06 -1.000000002
5.1 3.06 -1.000000002
5.61 3.06 -1.000000002
6.12 3.06 -1.000000002
6.63 3.06 -1.000000002
7.140000000000001 3.06 -1.000000002
7.65 3.06 -1.000000002
8.16 3.06 -1.000000002
8.67 3.06 -1.000000002
9.18 3.06 -1.000000002
9.69 3.06 -1.000000002
10.2 3.06 -1.000000002
10.71 3.06 -1.000000002
11.22 3.06 -1.000000002
11.73 3.06 -1.000000002
12.24 3.06 -1.000000002
12.75 3.06 -1.000000002
13.26 3.06 -1.000000002
13.77 3.06 -1.000000002
14.280000000000001 3.06 -1.000000002
14.781736433681042 3.06 -1.0043685312369475
27.038299576195303 3.06 -1.0044217382795502
27.54 3.06 -1.000000002
28.05 3.06 -1.000000002
28.560000000000002 3.06 -1.000000002
29.07 3.06 -1.000000002
29.580000000000002 3.06 -1.000000002
30.09 3.06 -1.000000002
30.6 3.06 -1.000000002
31.11 3.06 -1.000000002
31.62 3.06 -1.000000002
32.13 3.06 -1.000000002
32.64 3.06 -1.000000002
